Year,Title,Genre,Plot,Actors,Director,Rated,Runtime,Metascore
2007,Bleach the Movie 2: The DiamondDust Rebellion,"Animation, Action, Mystery","After the treasured Ouin is stolen, Toshiro Hitsugaya disappears and becomes suspected of treason. When the Soul Society calls for his capture and execution, Substitute Soul Reaper Ichigo Kurosaki vows to prove Hitsugaya's innocence.","Masakazu Morita, Fumiko Orikasa, Hiroki Yasumoto",Noriyuki Abe,TV-14,92 min,N/A
2007,"Basic Sanitation, the Movie",Comedy,A small community of descendants of Italian immigrants in the interior of the state of Rio Grande do Sul resorts to making a video to try to solve the problems of basic sanitation that plague their village.,"Fernanda Torres, Wagner Moura, Camila Pitanga",Jorge Furtado,N/A,112 min,N/A
2007,Super Sweet 16: The Movie,Comedy,Two best friends try to outdo each other as their respective sweet 16 parties approach.,"Joey Brander, Erin Bria, Giovanni Davis",Neema Barnette,Not Rated,86 min,N/A
2007,Doraemon the Movie: Nobita's New Great Adventure into the Underworld,"Animation, Adventure, Comedy","When Nobita turned the world into a world with magic with the what-if-telephone-booth-gadget, He and his world needed to defeat the threat that became reality in this world.","Wasabi Mizuta, Megumi Ôhara, Yumi Kakazu","Yukiyo Teramoto, Kôzô Kusuba",N/A,112 min,N/A
2008,Disaster Movie,"Comedy, Sci-Fi","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.","Carmen Electra, Vanessa Lachey, Nicole Parker","Jason Friedberg, Aaron Seltzer",PG-13,87 min,15
2008,Superhero Movie,"Action, Comedy, Sci-Fi","Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.","Drake Bell, Leslie Nielsen, Sara Paxton",Craig Mazin,PG-13,75 min,33
2008,The Onion Movie,Comedy,Satirical interpretations of world events and curious human behavior.,"Len Cariou, Sarah McElligott, Amir Talai","Tom Kuntz, Mike Maguire",Not Rated,86 min,N/A
2008,Extreme Movie,Comedy,A sketch-comedy movie about the joys and embarrassments of teen sex. But mostly the embarrassments.,"Frankie Muniz, Michael Cera, Ashley Schneider","Adam Jay Epstein, Andrew Jacobson",R,86 min,N/A
2008,Naruto Shippuden: The Movie - Bonds,"Animation, Action, Fantasy","A mysterious group of ninja called the Sora-nin from the Sky Country makes a surprise attack on Konoha. This is because Konoha nearly destroyed the Sky Country during the last Shinobi World War, yet they survived and now they're a...","Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama",Hajime Kamegaki,TV-14,98 min,N/A
2008,Home Movie,"Drama, Horror, Thriller","In the remote woods of Upstate New York, David and Clare Poe are attempting to live an idyllic life. However, their twin children's bizarre behavior might just tear the family apart.","Lucian Maisel, Cady McClain, Adrian Pasdar",Christopher Denham,R,77 min,N/A
2008,Midnight Movie,"Fantasy, Horror, Thriller",A midnight showing of an early 1970's horror movie turns to chaos when the Killer from the movie comes out of the film to attack those in the theater.,"Rebekah Brandes, Daniel Bonjour, Greg Cirulnick",Jack Messitt,R,82 min,N/A
2008,Killer Movie,"Comedy, Horror, Mystery",A reality TV director copes with a spoiled celebutante and a show gone haywire when a masked killer starts bumping off the crew in this slasher-movie satire.,"Paul Wesley, Kaley Cuoco, Gloria Votsis",Jeff Fisher,R,93 min,N/A
2008,The Best Movie,Comedy,"Vadik Volnov dies on his own wedding of cannabis overdose and has to prove to God that he is worthy to enter Heaven. During his conversation with God's secretary, Vadik recalls numerous memorable moments of his earthly existence.","Garik Kharlamov, Mikhail Galustyan, Armen Dzhigarkhanyan",Kirill Kuzin,N/A,110 min,N/A
2008,Gurren Lagann the Movie: Childhood's End,"Animation, Action, Comedy","Simon and Kamina, brothers in arms, take upon themselves to venture beyond the borders of their world, reality and imagination. Venturing further and further into a hidden truth that has kept humanity prisoners for millennia.","Steve Blum, Johnny Yong Bosch, G.K. Bowes","Hiroyuki Imaishi, Shin Itagaki, Tarô Iwasaki",TV-PG,112 min,N/A
2009,Hannah Montana: The Movie,"Comedy, Drama, Family","As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.","Miley Cyrus, Emily Osment, Billy Ray Cyrus",Peter Chelsom,G,102 min,47
2009,Wizards of Waverly Place: The Movie,"Action, Adventure, Comedy",A young wizard conjures a spell that puts her family in jeopardy.,"Selena Gomez, David Henrie, Jake T. Austin",Lev L. Spiro,TV-G,94 min,N/A
2009,Best Worst Movie,"Documentary, Comedy","A look at the making of the film Troll 2 (1990) and its journey from being crowned the ""worst film of all time"" to a cherished cult classic.","George Hardy, Pita Ray, Micki Knox",Michael Paul Stephenson,Not Rated,93 min,61
2009,Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire,"Animation, Action, Fantasy","Ninjas with bloodline limits begin disappearing in all the countries and blame points toward the fire nation. By Tsunade's order, Kakashi is sacrificed to prevent an all out war. Naruto fights through friends and foes to prevent h...","Junko Takeuchi, Chie Nakamura, Satoshi Hino",Masahiko Murata,Not Rated,95 min,N/A
2009,Spanish Movie,Comedy,A spoof of contemporary Spanish movies.,"Alexandra Jiménez, Sílvia Abril, Carlos Areces",Javier Ruiz Caldera,N/A,83 min,N/A
2009,"Road, Movie","Adventure, Comedy, Crime",A young man's journey across the mythic Indian landscape becomes a life-changing odyssey.,"Abhay Deol, Satish Kaushik, Tannishtha Chatterjee",Dev Benegal,Not Rated,95 min,N/A
2009,Gurren Lagann the Movie: The Lights in the Sky are Stars,"Animation, Action, Drama","Seven years after the defeat of the Spiral King, Simon and the Dai-Gurren brigade must set out to the vastness of space to defeat a new threat and save the universe. The last high-stakes battle for Simon and his team is about to b...","Steve Blum, Johnny Yong Bosch, G.K. Bowes","Hiroyuki Imaishi, Yasuhiro Geshi, Hiroshi Ikehata",PG-13,126 min,N/A
2009,Nodame Cantabile: The Movie I,"Comedy, Drama, Music","Aspiring conductor Chiaki Shinichi and talented but undisciplined pianist Noda Megumi (nicknamed ""Nodame"") travel to Paris to pursue careers as classical musicians. Chiaki finds himself at the helm of an orchestra that has fallen ...","Juri Ueno, Hiroshi Tamaki, Eita Nagayama",Hideki Takeuchi,N/A,122 min,N/A
2009,Totally Spies! The Movie,"Animation, Action, Adventure","In their first mission as, like, total spies, three newly-befriended teen girls investigate the disappearances of people across Beverly Hills, uncovering a plot involving trendy makeover machines, a fancy space hotel and global de...","Andrea Baker, Katie Griffin, Jennifer Hale",Pascal Jardin,TV-Y7-FV,75 min,N/A
2009,Another Egg and Chicken Movie,"Animation, Action, Adventure","A witch egg has kidnapped Toto who is already a chicken, and he wants his heart for his magic trick, so Willy and his friends are going to rescue him.","Bruno Bichir, Carlos Espejel, Angélica Vale","Gabriel Riva Palacio Alatriste, Rodolfo Riva Palacio Alatriste",TV-Y7,90 min,N/A
2010,Fred: The Movie,"Adventure, Comedy, Family","Lovestruck, awkward teen Fred Figglehorn makes desperate attempts to make Judy fall in love with him - while also dodging the mischievous Kevin.","Lucas Cruikshank, Pixie Lott, Jake Weary",Clay Weiner,TV-PG,81 min,N/A
2010,"Ultramarines: A Warhammer 40,000 Movie","Animation, Action, Fantasy","A squad of Ultramarines answer a distress call from an Imperial Shrine World. A full Company of Imperial Fists was stationed there, but there is no answer from them. The squad investigates to find out what has happened there.","Terence Stamp, John Hurt, Sean Pertwee",Martyn Pick,R,76 min,N/A
2010,The Drawn Together Movie!,"Animation, Comedy, Mystery",Eight housemates on a fake animated reality TV show realize they've been canceled and set off on a journey to get back on the air.,"Adam Carolla, Carol Channing, Christine Ebersole",Greg Franklin,Unrated,70 min,N/A
2010,Bleach the Movie: Hell Verse,"Animation, Action, Adventure","When Ichigo's sister Yuzu is kidnapped by sinners &amp; he is asked to do something for them in order to get his sister released. Ichigo must find a way to take his sister back from hell with the help of Rukia, Renji &amp; Uryu.","Masakazu Morita, Fumiko Orikasa, Kazuya Nakai","Noriyuki Abe, Yuzuru Tachikawa",TV-14,94 min,N/A
2010,Khichdi: The Movie,"Comedy, Family","In order to immortalize his love, a groom decides to create conflict between his and his to-be bride's families.","Anang Desai, Supriya Pathak, Rajeev Mehta",Aatish Kapadia,Not Rated,120 min,N/A
2010,Gintama: The Movie,"Animation, Action, Comedy","The silver-haired samurai Sakata Gintoki investigates the disappearance of a legendary sword named Benizakura while his partners Kagura and Shimura Shinpachi try to find out what has happened to Gintoki's friend, Kotaro Katsura.","Tomokazu Sugita, Daisuke Sakaguchi, Rie Kugimiya",Shinji Takamatsu,TV-14,96 min,N/A
2010,The Parking Lot Movie,Documentary,"Hailed as the ""most feel-good film"" of the South by Southwest Film Festival 2010, The Parking Lot Movie follows a select group of artistic and overeducated parking lot attendants as they wage war against the people who park in the...","Patrick Baran, John Beers, Chris Farina",Meghan Eckman,PG,74 min,63
2010,Oki's Movie,"Comedy, Drama","A love story between a middle-aged professor, a young student who prepares a movie and a student/film-maker who drinks too much.","Lee Sun-kyun, Jung Yu-mi, Moon Sung-keun",Hong Sang-soo,Not Rated,80 min,78
2010,Iris: The Movie,"Action, Adventure, Drama","South Korean National Security Service normally deals with North Korea, but now NSS must deal with IRIS terrorists with a nuke.","Lee Byung-hun, Kim Tae-hee, Kim So-yeon","Kyoo-tae Kim, Yun-ho Yang",Not Rated,125 min,N/A
2010,Nodame Cantabile: The Movie II,"Comedy, Drama, Music","Nodame (Juri Ueno) is still pining for the affections of Chiaki (Hiroshi Tamaki), but Chiaki wants them to concentrate on their musical careers and moves out. Chiaki then gets the opportunity to perform with Song Rui (Yu Yamada) a...","Juri Ueno, Hiroshi Tamaki, Eita Nagayama","Yasuhiro Kawamura, Hideki Takeuchi",N/A,123 min,N/A
2011,The Greatest Movie Ever Sold,"Documentary, Comedy","A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.","J.J. Abrams, Peter Berg, Paul Brennan",Morgan Spurlock,PG-13,90 min,66
2011,Phineas and Ferb the Movie: Across the 2nd Dimension,"Animation, Action, Adventure","Phineas and Ferb discover that Perry is a secret agent, and they all get stuck in an alternate dimension where Doofenschmirtz is the ruler of the tri-state area.","Vincent Martella, Ashley Tisdale, Thomas Brodie-Sangster","Robert Hughes, Dan Povenmire, Jay Lender",TV-G,78 min,N/A
2011,Glee: The 3D Concert Movie,"Documentary, Comedy, Music","A concert mockumentary shot during the Glee Live In Concert 2011 tour, featuring song performances, backstage scenes and fans' stories on how the show influenced their lives.","Cory Monteith, Dianna Agron, Lea Michele","Kevin Tancharoen, Jennifer Arnold",PG,84 min,48
2011,Naruto Shippuden the Movie: Blood Prison,"Animation, Action, Fantasy",Naruto Uzumaki is framed and sent to an inescapable prison where he must escape by any means necessary.,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama",Masahiko Murata,TV-14,108 min,N/A
2011,The Suite Life Movie,"Adventure, Comedy, Crime","A doctor approaches Zack and Cody and tells them that they would be ideal for the Gemini Project, a massive project studying the effects of twins.","Cole Sprouse, Dylan Sprouse, Brenda Song",Sean McNamara,Not Rated,79 min,N/A
2011,"A Fairly Odd Movie: Grow Up, Timmy Turner!","Comedy, Family, Fantasy","Timmy turns 23 and his godparents are fighting to keep him, while Crocker is still up to his nefarious schemes.","Drake Bell, Daniella Monet, Steven Weber",Savage Steve Holland,PG,48 min,N/A
2011,Dirty Movie,Comedy,"An outrageous cut-rate producer, Charlie LaRue is about to fulfill his lifelong dream to make a movie about the most offensive, dirtiest jokes ever told.","Emily Donahoe, Christopher Meloni, Diane Neal","Jerry Daigle, Christopher Meloni",R,91 min,N/A
2011,Horrid Henry: The Movie,"Adventure, Comedy, Family","Horrid Henry finds himself doing things he never ever thought he'd do, and then some.","Theo Stevenson, Richard E. Grant, Parminder Nagra",Nick Moore,PG,93 min,N/A
2011,K-On! The Movie,"Animation, Adventure, Comedy","In this continuation of the K-On anime, the girls from the band ""After School Tea Time"" go on a trip to London.","Aki Toyosaki, Yôko Hikasa, Satomi Satô",Naoko Yamada,TV-14,110 min,N/A
2011,Pokémon the Movie: White - Victini and Zekrom,"Animation, Action, Adventure",The greatest adventure in Pokémon history approaches.,"Rica Matsumoto, Ikue Ôtani, Hideki Takahashi",Kunihiko Yuyama,Not Rated,97 min,N/A
2012,Indie Game: The Movie,"Documentary, Drama","A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.","Jonathan Blow, Brandon Boyer, Renaud Bédard","Lisanne Pajot, James Swirsky",Not Rated,103 min,73
2012,Tim and Eric's Billion Dollar Movie,Comedy,"Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they then attempt to revitalize a failing shopping mall.","Tim Heidecker, Eric Wareheim, Robert Loggia","Tim Heidecker, Eric Wareheim",R,93 min,40
2012,Road to Ninja - Naruto the Movie,"Animation, Action, Adventure","Naruto and Sakura are captured in a parallel world by Madara, who's intentions are to steal the Nine Tails from Naruto.","Junko Takeuchi, Chie Nakamura, Toshiyuki Morikawa",Hayato Date,TV-14,109 min,N/A
2012,Nitro Circus: The Movie,"Documentary, Action, Comedy","Travis Pastrana and his tight-knit, highly-skilled, adrenaline-addicted friends bring their impossible, ridiculous, insane and hysterical adventures to the big screen for the first time.","Travis Pastrana, Tommy Passemante, Jeremy Rawle","Gregg Godfrey, Jeremy Rawle",PG-13,92 min,43
2012,Blue Exorcist: The Movie,"Animation, Action, Adventure","Rin and his friends, along with the rest of True Cross Academy Town, are in the midst of preparing for a festival that is celebrated only once every 11 years. While the barriers protecting the city from demon intrusions are being ...","Nobuhiko Okamoto, Jun Fukuyama, Kana Hanazawa",Atsushi Takahashi,N/A,88 min,N/A
2012,Big Time Movie,"Comedy, Family, Music","The boys from Big Time Rush travel to London for their first international tour and accidentally get involved in a dangerous device capable of destroying the world. Features covers of Beatles' songs, as well as original tunes.","Kendall Schmidt, James Maslow, Carlos PenaVega",Savage Steve Holland,G,68 min,N/A
2012,Pokémon the Movie: Kyurem vs. the Sword of Justice,"Animation, Action, Adventure","An over zealous pokemon called Keldeo enrages a very powerful Kyurem. With the help of Ash and Pikachu, can Keldeo become a sword of justice and defeat the mighty Kyurem?","Sarah Natochenny, Eileen Stevens, Jason Griffith",Kunihiko Yuyama,Not Rated,72 min,N/A
2012,Puella Magi Madoka Magica the Movie Part 1: Beginnings,"Animation, Drama, Fantasy","A mysterious creature ""Kyubey"" offers a young girl named Madoka Kaname the chance to have any one wish granted to her. In exchange she must battle evil creatures named ""Witches"" at the risk of losing her life.","Aoi Yûki, Chiwa Saitô, Eri Kitamura","Fujiaki Asari, Mamoru Hatakeyama, Takashi Kawabata",Not Rated,130 min,N/A
2012,Puella Magi Madoka Magica the Movie Part 2: Eternal,"Animation, Fantasy, Mystery","As the truth behind the girls' contracts with Kyubey is revealed, Madoka has to make the ultimate decision to either see those she love the most die before her eyes or to sacrifice her life as a normal girl and help out her friend...","Aoi Yûki, Chiwa Saitô, Eri Kitamura","Tomoyuki Itamura, Yukihiro Miyamoto, Masahiro Mukai",Not Rated,109 min,N/A
2012,High Rise Life - The Movie,Comedy,"For a long time, a group of friends have been on a yearly summer trip to Laholm. This year, they want to go somewhere else, at least everyone except Ulf, who force the others to join the trip - by saying he has cancer.","Johan Glans, Vanna Rosenberg, David Batra",Mikael Syrén,N/A,84 min,N/A
2013,Movie 43,Comedy,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,"Emma Stone, Stephen Merchant, Richard Gere","Elizabeth Banks, Steven Brill, Steve Carr",R,94 min,18
2013,Scary Movie V,"Comedy, Horror","A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.","Simon Rex, Ashley Tisdale, Charlie Sheen","Malcolm D. Lee, David Zucker",PG-13,86 min,11
2013,Teen Beach Movie,"Comedy, Family, Fantasy","Two surfing lovers, whose doomed relationship is nearing to a close, find themselves swept into a dimension-traversing wave that sends them into a beach movie musical in the 60's.","Ross Lynch, Maia Mitchell, Gracie Gillam",Jeffrey Hornaday,Not Rated,110 min,N/A
2013,Steins;Gate: The Movie - Load Region of Déjà Vu,"Animation, Mystery, Sci-Fi","After the events of the anime, Rintarou begins to feel the repercussions of extensive time travel, and eventually completely fades from reality. Kurisu, being the only companion to remember him, now must find a way to bring him back.","Mamoru Miyano, Asami Imai, Kana Hanazawa","Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô",TV-14,90 min,N/A
2013,Lego Batman: The Movie - DC Super Heroes Unite,"Animation, Action, Adventure, Family, Sci-Fi","When the Joker and Lex Luthor form an alliance, Batman must team up with the Justice League in order to stop them.","Clancy Brown, Troy Baker, Christopher Corey Smith, Charlie Schlatter",Jon Burton,Not Rated,71 min,N/A
2013,Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,"Animation, Drama, Fantasy",Madoka Kaname used to be a normal girl living happy days of her life. This all ended when she sacrificed herself in order to save other magical girls from the utterly cruel fate that awaited them. Unable to let her memories of Mad...,"Aoi Yûki, Chiwa Saitô, Eri Kitamura","Takashi Kawabata, Yukihiro Miyamoto, Akiyuki Shinbô",Not Rated,116 min,N/A
2013,Gintama the Movie: The Final Chapter - Be Forever Yorozuya,"Animation, Action, Comedy",Gintoki travels into the future and discovers it to be a wasteland with his friends fallen apart. He reunites them to find out what went wrong and how to fix things.,"Tomokazu Sugita, Daisuke Sakaguchi, Rie Kugimiya",Yôichi Fujita,N/A,110 min,N/A
2013,Anohana the Movie: The Flower We Saw That Day (Ano hi mita hana no namae wo bokutachi wa mada shiran,"Animation, Adventure, Drama",A group of friends were separated when one of them died in an accident. Later on she comes back as a ghost trying to get into heaven but to do that her friends must grant her a wish.,"Kenji Akabane, Megumi Han, Ikumi Hayama",Tatsuyuki Nagai,M,99 min,N/A
2013,The Harry Hill Movie,"Adventure, Comedy, Family","When he thinks his hamster Abu (Johnny Vegas) has just a week to live, Harry Hill (Harry Hill) and his Nan (Dame Julie Walters) take the hamster to Blackpool. However, Harry's twin Otto (Matt Lucas) wants to kidnap Abu, and sends ...","Harry Hill, Julie Walters, Johnny Vegas",Steve Bendelack,N/A,88 min,N/A
2013,Jay and Silent Bob's Super Groovy Cartoon Movie,"Animation, Comedy","Jay and Silent Bob hit the lottery jackpot, and use their cash windfall to become crime-fighting superheroes.","Marc Bernardin, Ming Chen, Matt Cohen",Steve Stark,Not Rated,64 min,N/A
2014,The Lego Movie,"Animation, Action, Adventure","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","Chris Pratt, Will Ferrell, Elizabeth Banks","Phil Lord, Christopher Miller",PG,100 min,83
2014,The Last: Naruto the Movie,"Animation, Action, Adventure","Hinata Hyuga's younger sister has been kidnapped, so Naruto must do what he can to save her.","Junko Takeuchi, Nana Mizuki, Jun Fukuyama",Tsuneo Kobayashi,TV-14,112 min,N/A
2014,Stromberg - The Movie,Comedy,The movie spin-off of the TV series centered around the incompetent boss of a German insurance office.,"Christoph Maria Herbst, Milena Dreißig, Bjarne Mädel",Arne Feldhusen,N/A,123 min,N/A
2014,Angry Video Game Nerd: The Movie,"Action, Adventure, Comedy",The AVGN must overcome his phobia of the worst video game in the world to save his fans.,"James Rolfe, Jeremy Suarez, Sarah Glendening","Kevin Finn, James Rolfe",R,115 min,N/A
2014,Hello Ladies: The Movie,Comedy,"Stuart has recently split up with his girlfriend. When his girlfriend comes to visit LA, Stuart pretends to have a relationship with his tenant to make his ex feel jealous.","Stephen Merchant, Christine Woods, Nate Torrence",Stephen Merchant,TV-MA,85 min,N/A
2014,Video Games: The Movie,"Documentary, History","Learn how video games are made, marketed, and consumed by looking back at gaming history and culture through the eyes of game developers, publishers, and consumers.","Sean Astin, Al Alcorn, Peter Armstrong",Jeremy Snead,Not Rated,101 min,40
2014,The Fluffy Movie: Unity Through Laughter,"Documentary, Comedy","A comedy concert film that captures the on-stage performance and inspirational success story of Gabriel ""Fluffy"" Iglesias.","Gabriel Iglesias, Jacqueline Obradors, Gina Brillon","Manny Rodriguez, Jay Lavender",PG-13,101 min,56
2014,Corner Gas: The Movie,Comedy,As the town of Dog River goes bankrupt the residents of the town must pack up and move out. However our favourite citizens make one last-ditch effort to save Dog River.,"Brent Butt, Gabrielle Miller, Fred Ewanuick",David Storey,PG,90 min,N/A
2014,Maya the Bee Movie,"Animation, Adventure, Comedy",Maya is a little bee with a big heart! Join her on an epic adventure.,"Kodi Smit-McPhee, Richard Roxburgh, Noah Taylor",Alexs Stadermann,G,89 min,49
2014,Postman Pat: The Movie,"Animation, Comedy, Family",A veteran postman finds his beliefs challenged after he enters a TV talent show competition.,"Stephen Mangan, Jim Broadbent, Rupert Grint",Mike Disa,Not Rated,88 min,44
2015,The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy","When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his friends team up in order to get it back.","Tom Kenny, Antonio Banderas, Bill Fagerbakke","Paul Tibbitt, Mike Mitchell",PG,92 min,62
2015,The Peanuts Movie,"Animation, Adventure, Comedy","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.","Noah Schnapp, Bill Melendez, Hadley Belle Miller",Steve Martino,G,88 min,67
2015,Shaun the Sheep Movie,"Animation, Adventure, Comedy","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flo...","Justin Fletcher, John Sparkes, Omid Djalili","Mark Burton, Richard Starzak",PG,85 min,81
2015,My Scientology Movie,Documentary,Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.,"Louis Theroux, Tom Cruise, Marty Rathbun",John Dower,Not Rated,99 min,62
2015,Boruto: Naruto the Movie,"Animation, Action, Adventure","It's been some years since the end of the Shinobi War. Naruto Uzumaki is the 7th Hokage of Konohagakure, in this new era. His son, Boruto Uzumaki, will soon enter the Chûnin exams, alongside Sarada Uchiha and the mysterious Mitsuki.","Yûko Sanpei, Kokoro Kikuchi, Ryûichi Kijima","Hiroyuki Yamashita, Toshiyuki Tsuru",PG,95 min,N/A
2015,The Bad Education Movie,Comedy,Mr Wickers and his class go on one final school trip after they finish their GCSEs.,"Jack Whitehall, Charlie Wernham, Nikki Runeckles",Elliot Hegarty,Not Rated,90 min,N/A
2015,Smosh: The Movie,"Adventure, Comedy, Fantasy",An embarrassing video of Anthony surfaces online right before his fifth high school reunion. The Smosh dudes then take a portal into YouTube and race to change the video and re-write history before it blows Anthony's chances of re...,"Ian Hecox, Anthony Padilla, Michael Ian Black",Alex Winter,PG-13,84 min,N/A
2015,Regular Show: The Movie,"Animation, Action, Adventure","To save the universe, and their friendship, Mordecai and Rigby must defeat an evil volleyball coach.","J.G. Quintel, William Salyers, Sam Marin",J.G. Quintel,TV-PG,70 min,N/A
2015,Psycho-Pass: The Movie,"Animation, Action, Crime","In this sequel to Psycho-Pass TV show, Inspector Tsunemori is sent to a neighboring war-torn nation, where the Sibyl System is being introduced as an experiment, to find Shinya Kogami, her former enforcer who went rogue three year...","Bryn Apprill, Major Attaway, Z. Charles Bolton","Naoyoshi Shiotani, Katsuyuki Motohiro",TV-MA,113 min,N/A
2015,Ghost in the Shell: The New Movie,"Animation, Action, Sci-Fi","Newport-City 2029: Major, an advanced female cyborg, is in charge of the anti-terrorism etc. unit reporting directly to the government. Taking out terrorists and freeing hostages at an embassy doesn't go smoothly. Major investigat...","Maaya Sakamoto, Ken'ichirô Matsuda, Ikkyû Jaku","Motonobu Hori, Shinji Itadaki, Kazuchika Kise",TV-MA,100 min,N/A
2016,A Silent Voice: The Movie,"Animation, Drama","A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to mak...","Miyu Irino, Saori Hayami, Aoi Yûki","Taichi Ishidate, Naoko Yamada",Not Rated,130 min,78
2016,The Angry Birds Movie,"Animation, Action, Adventure","When an island populated by happy, flightless birds is visited by mysterious green pigs, it's up to three unlikely outcasts to figure out what the pigs are up to.","Jason Sudeikis, Josh Gad, Danny McBride","Clay Kaytis, Fergal Reilly",PG,97 min,43
2016,Absolutely Fabulous: The Movie,"Comedy, Crime","After attracting both media and police attention for accidentally knocking Kate Moss into the River Thames, Edina and Patsy hide out in the south of France.","Jennifer Saunders, Joanna Lumley, Jane Horrocks",Mandie Fletcher,R,91 min,59
2016,Uno: The Movie,Comedy,What had started as a simple game of UNO! turned into a psychological horror. Coworkers are driven to the edge of madness as they commit to a game of Uno.,"Geoff Ramsey, Gavin Free, Ryan Haywood, Jeremy Dooley",N/A,N/A,164 min,N/A
2016,Donald Trump's The Art of the Deal: The Movie,Comedy,"Funny or Die presents a satirical rendition of Donald Trump's 1987 best selling business book, The Art of the Deal.","Johnny Depp, Ron Howard, Alfred Molina",Jeremy Konner,Not Rated,50 min,75
2016,BoBoiBoy: The Movie,"Animation, Action, Adventure",A group of alien treasure hunters named The Tengkotak has arrived on earth and kidnapped Ochobot in order to use him to locate an ancient and powerful Power Sphere hiding on earth. BoBoiBoy and his super friends must now race agai...,"Nur Fathiah Diaz, Mohd Fathi Diaz, Dzubir Mohamed Zakaria",Nizam Razak,TV-G,100 min,N/A
2016,Pokémon the Movie: Volcanion and the Mechanical Marvel,"Animation, Action, Adventure",A mystical Pokémon by the name of Volcanion must accept Ash's help to rescue the Azoth Kingdom.,"Tyler Bunch, James Carter Cathcart, Daniel J. Edwards",Kunihiko Yuyama,PG,90 min,N/A
2016,Horror Hotel: The Movie,"Comedy, Horror, Sci-Fi","""Aliens Stole My Boyfriend"" - Two cute alien chicks crash land their space buggy in the parking lot of the motor court looking for Earth boyfriends. ""Coma Girl"" - A macabre maintenance man falls in love with a comatose patient at ...","Tera Buerkle, Deborah Childs, Jordan Demers",Ricky Hess,N/A,103 min,N/A
2016,Doraemon the Movie: Nobita and the Birth of Japan,"Animation, Adventure, Comedy",Doraemon and friends trying to save a boy name Kukuru and his tribe from Gigazombie who want to change history for his own sake in the ancient times.,"Chiaki, Miki Fukui, Aya Hisakawa",Shinnosuke Yakuwa,N/A,104 min,N/A
2016,That Vitamin Movie,Documentary,"A respected documentary maker, hears from a friend, that his long term depression has been helped after watching a video entitled, ""Food matters"" and following a nutritional protocol involving high doses of vitamins, as outlined b...","David Brownstein, Helen Saul Case, Hyla Cass","Michael Beattie, Sai Kelly",Not Rated,86 min,N/A
2017,The Lego Batman Movie,"Animation, Action, Adventure","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","Will Arnett, Michael Cera, Rosario Dawson",Chris McKay,PG,104 min,75
2017,The Emoji Movie,"Animation, Adventure, Comedy","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.","T.J. Miller, James Corden, Anna Faris",Tony Leondis,PG,86 min,12
2017,Captain Underpants: The First Epic Movie,"Animation, Action, Adventure","Two overly-imaginative pranksters hypnotize their grumpy principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted, underwear-themed superhero.","Kevin Hart, Thomas Middleditch, Ed Helms",David Soren,PG,89 min,69
2017,The Lego Ninjago Movie,"Animation, Adventure, Comedy","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.","Jackie Chan, Dave Franco, Fred Armisen","Charlie Bean, Paul Fisher, Bob Logan",PG,101 min,55
2017,Psych: The Movie,"Comedy, Crime, Mystery",The old gang comes together during the holidays after a mystery assailant targets one of their own.,"James Roday Rodriguez, Dulé Hill, Timothy Omundson",Steve Franks,TV-PG,88 min,N/A
